,Open,High,Low,Close,Date
0,35910.83790612599,38934.908466641864,35910.83790612599,38103.2890625,2000-01-04
1,37044.86233552631,37725.27817434211,35532.827138157896,35910.8359375,2000-01-05
2,35986.43888081395,36629.053860828484,32433.156050145346,32508.7578125,2000-01-06
3,32508.75176257622,32848.95962985899,30769.911552019814,30996.716796875,2000-01-07
4,32508.752629206734,32508.752629206734,31147.921123798078,31450.328125,2000-01-10
5,31828.34033378136,32508.756160394263,31412.530661962363,31639.3359375,2000-01-11
6,31374.733332683918,31374.733332683918,29862.697991349753,30316.30859375,2000-01-12
7,30316.306747581846,32055.14728422619,29938.29793526786,31752.740234375,2000-01-13
8,32130.74650818284,34323.19744638826,31752.737725733634,33491.578125,2000-01-14
9,34247.58645833333,34323.18819444444,32584.348263888885,34020.78125,2000-01-17
10,33945.18866393905,33945.18866393905,32962.36582957111,33491.578125,2000-01-18
11,33264.77363782051,33264.77363782051,32130.747263803903,32433.154296875,2000-01-19
12,32395.360698359204,36591.259225217866,31790.546496289488,34701.21484375,2000-01-20
13,34625.613068491286,36213.250348924295,33793.993540645424,34701.21484375,2000-01-21
14,35154.815639992004,36137.63844283049,34852.40862373401,35457.22265625,2000-01-24
15,34550.004699572295,35154.818786216885,34096.39413458885,34247.59765625,2000-01-25
16,34096.388105975195,34663.4012119504,33037.96364148816,33529.375,2000-01-26
17,32886.755545479915,34323.18854631697,32546.54772949219,33869.578125,2000-01-27
18,33642.77607335454,34323.19176922014,33264.767353429204,34171.98828125,2000-01-28
19,33567.17949438203,34398.79880617978,33302.5733497191,33642.78125,2000-01-31
20,34625.59783574945,35532.81873974289,34474.39435175055,34549.99609375,2000-02-01
21,34776.8046875,35306.01693274456,34171.99069293478,34776.8046875,2000-02-02
22,34020.784254807695,35230.412139423075,34020.784254807695,34398.79296875,2000-02-03
23,34398.79296875,34398.79296875,34398.79296875,34398.79296875,2000-02-04
24,34701.20293817935,35154.81343410326,34398.795940896736,34776.8046875,2000-02-07
25,35154.810953055865,35495.01880098866,33907.38217730227,34171.98828125,2000-02-08
26,33793.98689599394,34550.004499931165,33642.7833752065,34323.19921875,2000-02-09
27,33982.982980231056,34323.19081874283,32659.952497129736,32924.55859375,2000-02-10
28,32811.15977995986,33604.97816173308,31979.540522864103,32962.36328125,2000-02-11
29,31790.536382850238,32508.753019323667,31223.52324879227,31299.125,2000-02-14
30,31299.12614889706,31714.935795802696,30618.710363051472,30845.515625,2000-02-15
31,30845.51805054152,31525.933889891698,30543.111010830326,31412.53125,2000-02-16
32,31412.512379772255,32130.728667637086,30845.4995209316,32055.126953125,2000-02-17
33,32055.14127286585,32508.75176257622,30996.716796874996,30996.716796875,2000-02-18
34,30618.70728470897,30845.51252385496,29182.274103451015,29711.486328125,2000-02-21
35,29484.677528782893,30618.703587582237,28728.66015625,28728.66015625,2000-02-22
36,28955.465569911863,30845.509014423078,28048.244716546476,29484.677734375,2000-02-23
37,29106.669045472758,29484.677734375004,27783.638634314906,29484.677734375,2000-02-24
38,28577.461689505348,29031.07219251337,28275.0546875,28275.0546875,2000-02-25
39,26536.210759943184,27670.236860795456,24948.574218750004,24948.57421875,2000-02-28
40,25628.996099686552,25855.801374905015,24305.965327578837,24872.978515625,2000-02-29
41,24872.978515625,24872.978515625,24872.978515625,24872.978515625,2000-03-01
42,24948.576244813277,27594.63736168741,24948.576244813277,27330.03125,2000-03-02
43,26838.620912852748,26989.824410953326,25742.39555162355,26120.404296875,2000-03-03
44,26309.410386029413,28275.055989583336,25855.799862132353,26989.826171875,2000-03-06
45,27594.6416015625,28501.8626953125,26952.02666015625,27216.6328125,2000-03-07
46,26460.60557695637,27519.029800034627,26120.397790966934,27292.224609375,2000-03-08
47,27594.640568387684,27594.640568387684,26082.60546875,26082.60546875,2000-03-09
48,26838.6240234375,27367.836328125,26611.81875,27216.6328125,2000-03-10
49,27065.425680226293,27065.425680226293,25855.797716864225,26309.408203125,2000-03-13
50,25704.593384502925,26309.40734649123,25553.38989400585,25855.796875,2000-03-14
51,25666.79581634964,26347.211611186594,25024.180899003622,26082.60546875,2000-03-15
52,26838.626004464284,27367.838348214285,26233.811897321426,26460.6171875,2000-03-16
53,27519.0362890625,30429.703588867185,27065.42580078125,30240.69921875,2000-03-17
54,30316.297578327398,30845.509755505183,28501.855828003565,29182.271484375,2000-03-20
55,28804.267133042897,29106.674137064347,28048.24962298928,28199.453125,2000-03-21
56,28690.85948768029,30316.296849959937,28426.25340544872,29484.677734375,2000-03-22
57,29257.88068423064,29257.88068423064,27670.243747877037,27821.447265625,2000-03-23
58,28048.252542246944,28501.86309549083,27594.64198900306,27821.447265625,2000-03-24
59,28048.244864004628,29598.080496651786,27821.4396494709,28577.45703125,2000-03-27
60,28577.459343302507,32130.741325141706,28577.459343302507,31677.130859375,2000-03-28
61,31752.735452586203,33491.575727370684,31374.72669719827,32886.76171875,2000-03-29
62,33642.77922952586,34701.20374461207,32886.76171875,32886.76171875,2000-03-30
63,31903.93777629573,33037.96400057164,30769.911552019814,30996.716796875,2000-03-31
64,31752.7341796875,32055.141171875,29862.690478515626,30240.69921875,2000-04-03
65,29484.679122740967,31601.527880271085,29484.679122740967,31374.72265625,2000-04-04
66,31374.722656250004,31374.722656250004,31374.722656250004,31374.72265625,2000-04-05
67,30694.310990338163,31299.124999999996,30656.510114734298,31299.125,2000-04-06
68,31374.726161172945,33415.97340539383,31299.124411386983,33113.56640625,2000-04-07
69,34020.79217717511,34928.01330189978,32546.557849497523,34323.19921875,2000-04-10
70,34323.18981169006,35910.82634482991,33264.7654562635,35003.60546875,2000-04-11
71,35003.60319907663,35381.61187293274,34058.58151443633,34285.38671875,2000-04-12
72,34285.38671875,34285.38671875,34285.38671875,34285.38671875,2000-04-13
73,33642.7822265625,33642.7822265625,32659.959375,33264.7734375,2000-04-14
74,29862.690572599084,31374.725538300303,29182.274838033536,30996.716796875,2000-04-17
75,33491.57248767401,33491.57248767401,31374.72366226798,32584.3515625,2000-04-18
76,33264.76753048781,36062.03207282428,33189.16578610033,34096.38671875,2000-04-19
77,34436.59635557433,35759.62695101352,34020.78673986487,34965.80859375,2000-04-20
78,35457.22256056975,35684.02782215122,34474.399760383385,35495.0234375,2000-04-21
79,35381.62082405345,35381.62082405345,33491.5769766147,33945.1875,2000-04-24
80,32659.949999999997,34625.595138888886,32659.949999999997,34020.78125,2000-04-25
81,35154.817594514854,35154.817594514854,32357.552538607222,32433.154296875,2000-04-26
82,31752.738472465033,33491.57891262383,31223.526164590614,32433.154296875,2000-04-27
83,32433.14631985691,35343.813297279965,32433.14631985691,35003.60546875,2000-04-28
84,35003.60546875,35003.60546875,35003.60546875,35003.60546875,2000-05-01
85,35154.81341768451,37196.060648388775,35154.81341768451,36364.44140625,2000-05-02
86,36137.62755594136,36818.04313753858,35608.4154369213,36742.44140625,2000-05-03
87,36288.844696969696,38178.88869160353,36137.64117739899,37422.87109375,2000-05-04
88,37422.87109375,37422.87109375,37422.87109375,37422.87109375,2000-05-05
89,38254.49259052579,38934.908466641864,37574.076714409726,38103.2890625,2000-05-08
90,38103.2890625,38103.2890625,38103.2890625,38103.2890625,2000-05-09
91,38027.6763203125,38481.2867734375,37422.862382812506,37800.87109375,2000-05-10
92,37800.87109375,37800.87109375,37800.87109375,37800.87109375,2000-05-11
93,37120.45721460459,38027.67816485969,36213.236264349485,37044.85546875,2000-05-12
94,35910.8359375,37044.86233552631,35154.818338815785,35910.8359375,2000-05-15
95,36364.44015532908,38783.69604923871,35910.82967522102,38481.2890625,2000-05-16
96,39010.507233216435,39993.33008986724,37725.27734375,37725.27734375,2000-05-17
97,36402.24733664773,38254.49045138889,36402.24733664773,37422.87109375,2000-05-18
98,37422.87109375,37649.676373106064,36364.44645675505,37422.87109375,2000-05-19
99,37044.85357973195,37271.65880573031,34020.783899753835,34549.99609375,2000-05-22
100,33793.9839922049,35532.82433184855,33264.77171492205,33945.1875,2000-05-23
101,33264.77285553047,34398.7992028781,31223.52543030474,33491.578125,2000-05-24
102,33793.98544556908,35154.81707424972,32508.755574037372,33378.17578125,2000-05-25
103,32886.76475477159,32886.76475477159,30089.499706664577,30202.90234375,2000-05-26
104,28728.668154761905,30769.915628916042,28501.86287985589,30165.1015625,2000-05-29
105,30165.1015625,30165.1015625,30165.1015625,30165.1015625,2000-05-30
106,34550.00539607558,35381.624781976745,32508.7578125,32508.7578125,2000-05-31
107,33567.18821486928,35381.630821078434,32886.77223754085,34701.21484375,2000-06-01
108,35759.63529459635,37196.06884765625,35759.63529459635,36288.84765625,2000-06-02
109,37044.8653157552,37574.07767740885,35948.639709472656,36288.84765625,2000-06-05
110,36288.84765625,36288.84765625,36288.84765625,36288.84765625,2000-06-06
111,36288.838010204076,37422.86419802296,35910.82928093112,37044.85546875,2000-06-07
112,37347.26087526206,37347.26087526206,35910.82776467506,36062.03125,2000-06-08
113,36742.456087853774,41429.76530070754,36440.0490418632,40068.93359375,2000-06-09
114,41127.35825471698,41127.35825471698,38934.90717128538,40068.93359375,2000-06-12
115,39615.32648026316,39615.32648026316,37800.88404605263,38783.70703125,2000-06-13
116,38783.69644442471,40824.94362571023,37536.2676114169,39917.72265625,2000-06-14
117,39237.31130105198,41051.75344214109,38178.88671875,38178.88671875,2000-06-15
118,38178.878025428916,40673.735401348036,37574.064116115194,38556.88671875,2000-06-16
119,37876.47313701923,39993.32193509615,37876.47313701923,39312.90625,2000-06-19
120,40068.92975852273,42185.77887784091,39690.92098721591,41580.96484375,2000-06-20
121,41580.95398509174,42866.18347190367,40824.93663990826,41202.9453125,2000-06-21
122,41656.568157576105,42185.780457218636,40068.931258648525,40976.15234375,2000-06-22
123,40371.33574766355,40824.94626168224,39615.318224299066,40446.9375,2000-06-23
124,40824.95120872641,41202.960016214616,40068.93359375,40068.93359375,2000-06-26
125,40598.148234200744,40749.351765799256,40068.935873605944,40673.75,2000-06-27
